Статус,Количество
04-Jun-2019,1
01-Nov-2021,1
18-Jun-2009,1
06-Apr-2023,1
27-Mar-2023,1
20-Feb-2023,1
15-Aug-2019,1
21-Oct-2022,1
29-Jan-2022,1
17-Mar-2021,1
16-Jan-2023,1
29-Jul-2021,1
20-Oct-2020,1
04-Aug-2015,1
20-Aug-2004,1
04-May-2022,1
08-Mar-2022,1
18-May-2021,1
10-May-2021,1
08-Jul-2020,1
Total,20
